year,ticker,action,shares,price_vnd,topsis_score,weight_pct
2021,TCB,BUY,22800,14100.00,0.404700,32.160000
2021,STB,BUY,12800,16900.00,0.243400,21.640000
2021,ACB,BUY,3600,128300.00,0.211200,46.200000
2021,VCB,RANK,,42930.00,0.561700,
2021,BID,RANK,,33600.00,0.080100,
2022,STB,BUY,18600,31500.00,0.466200,40.140000
2022,ACB,BUY,6000,145600.00,0.224400,59.860000
2022,VCB,RANK,,44720.00,0.497200,
2022,BID,RANK,,31600.00,0.362400,
2022,SHB,RANK,,16180.00,0.072100,
2023,SHB,BUY,100,6270000.00,0.523100,45.010000
2023,TCB,BUY,62800,12200.00,0.441200,54.990000
2023,VCB,RANK,,45270.00,0.283700,
2023,BID,RANK,,34240.00,0.250700,
2023,ACB,RANK,,162.80,0.223600,
2023,STB,RANK,,22.50,0.093200,
2024,SHB,BUY,100,7950000.00,0.486200,45.900000
2024,TCB,BUY,35300,15000.00,0.475400,30.570000
2024,ACB,BUY,2200,185200.00,0.233100,23.530000
2024,BID,RANK,,42680.00,0.400700,
2024,STB,RANK,,27.95,0.106600,
2024,VCB,RANK,,53650.00,0.088900,
